а 0,08462121347192754
б 0,017720683937454313
в 0,04567903435733771
г 0,02019451922905486
д 0,030408115962700804
е 0,08072191416905879
ё 0,0008575962344215237
ж 0,010423984167454135
з 0,017482660866154368
и 0,06558471660099488
й 0,011552587943730276
к 0,03464795763724214
л 0,05069980565906538
м 0,030006953482981796
н 0,06539305008290691
о 0,113847237327723
п 0,025332964858166777
р 0,04422147734769198
с 0,05282418385722182
т 0,05747410273325369
у 0,027859397008219374
ф 0,0019336031522456183
х 0,008634799507907359
ц 0,003486547684846756
ч 0,014202043254230036
ш 0,009706349064845686
щ 0,0028732148269652504
ъ 0,0004501934494624423
ы 0,019024907732629666
ь 0,01996006204646353
э 0,003053292206750227
ю 0,006419491147681281
я 0,022701338991210084
